title,authors,journal,doi,all_authors
Prediction of Dissolved Organic Carbon Concentrations in Inland Waters Using Optical Proxies of Aromaticity,Kathleen R. Murphy,Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c05408,Kathleen R. Murphy
Size and Structure-Dependent Molecular Fingerprint Transformation of Microplastic-Derived Dissolved Organic Matter in Sunlit Seawater: Implication for Marine Carbon Cycles,"Yanjun Liu, Zhao Liang Chen, Zekun Zhang, ... , Ding He (n=11)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c04083,Yanjun Liu; Zhao Liang Chen; Zekun Zhang; Yuanbi Yi; Ruanhong Cai; Ming Ye; Mengyang Liu; Meng Yan; Kmy Leung; Tanveer M. Adyel; Ding He
Erosion-Driven Vertical Decoupling: Molecular Signatures of Dissolved Organic Matter and Microbial Coevolution in Subsoil Hotspots,"Yumei Peng, Zhongmin Fan, Zi Wang, ... , Xiang Wang (n=8)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c02856,Yumei Peng; Zhongmin Fan; Zi Wang; Ziyun Zhang; Yuxin Yan; Jia Shi; Chunpeng Huo; Xiang Wang
MoleTrans: Browser-Based Webtool for Postanalysis on Molecular Chemodiversity and Transformation of Dissolved Organic Matters via FT-ICR MS,"Jibao Liu, Bei Zhang, Qing‐Long Fu, ... , Manabu Fujii (n=11)",Environmental Science & Technology Letters,https://doi.org/10.1021/acs.estlett.5c00284,Jibao Liu; Bei Zhang; Qing‐Long Fu; Toshihiro Isobe; Rongjun Gao; Yuansong Wei; Eunsang Kwon; Zhineng Hao; Wei An; Qi Rong; Manabu Fujii
The potential nature of “dark” dissolved organic matter in the biosphere,"Khan M. G. Mostofa, Jie Yuan, Xuemei Yang, ... , Si‐Liang Li (n=9)",Frontiers in Earth Science,https://doi.org/10.3389/feart.2025.1517025,Khan M. G. Mostofa; Jie Yuan; Xuemei Yang; Mohammad Mohinuzzaman; Cong‐Qiang Liu; Nicola Senesi; N. Senesi; Davide Vione; Si‐Liang Li
Organo-mineral interactions modulate organic carbon retention and mobility in a deep subterranean estuary of a high-energy beach,"Kojo Amoako, Anja Reckhardt, M.H.T. Roberts, ... , Hannelore Waska (n=7)",Frontiers in Water,https://doi.org/10.3389/frwa.2025.1507564,Kojo Amoako; Anja Reckhardt; M.H.T. Roberts; Rena Meyer; Simone Brick; Thorsten Dittmar; Hannelore Waska
Exploring the fate and chemical transformation of organics by UV/H2O2-GAC and UV/H2O2-BAC based on pilot-scale systems in the treatment of micro-polluted surface water,"Wenxuan Yin, Wenjun Sun, Yongqin Yuan, ... , Fengyi Zheng (n=6)",Frontiers of Environmental Science & Engineering,https://doi.org/10.1007/s11783-025-2008-5,Wenxuan Yin; Wenjun Sun; Yongqin Yuan; Daoyi Zhang; Yuanna Zhang; Fengyi Zheng
"Distinct molecular complexing mechanisms of smoke dissolved organic matters (SDOMs) from various solid fuels combustion toward heavy metals: New insights based on FT-ICR-MS, two dimensional fluorescence EEM and FTIR","Yixin Xu, Shiming Xu, Cheng Yue, ... , Jinzhi Ni (n=8)",Fuel,https://doi.org/10.1016/j.fuel.2025.136646,Yixin Xu; Shiming Xu; Cheng Yue; Weifeng Chen; Huiying Zhang; Hui Jia; Wei Ran; Jinzhi Ni
Strong depth-dependent chemical and structural characteristics of dissolved organic matter (DOM) in organic-rich sediment in a shallow temperate lake,"Chenhui Wei, Shu Tao, Patrick G. Hatcher, Dongqiang Zhu",Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2025.05.002,Chenhui Wei; Shu Tao; Patrick G. Hatcher; Dongqiang Zhu
Process zone specific alteration of rare earth element (REE) patterns across the land–ocean transition of the southern North Sea,"Corinna Mori, Olaf Dellwig, Jochen Wollschläger, Michael Seidel",Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2025.06.017,Corinna Mori; Olaf Dellwig; Jochen Wollschläger; Michael Seidel
