year,title,authors_short,all_authors,journal,doi,subdisciplines,n_subdisciplines
2022,Characterization of molecular dissolved organic matter removed by modified eucalyptus-based biochar and disinfection by-product formation potential using Orbitrap mass spectrometric analysis,"Naruemon Phinyothanmakorn, Thirawit Prasert, Yuvarat Ngernyen et al. (n=5)",Naruemon Phinyothanmakorn; Thirawit Prasert; Yuvarat Ngernyen; Sumana Siripattanakul‐Ratpukdi; Phanwatt Phungsai,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.153299,biochar_black_carbon; biogeochem_carbon; wastewater_drinking,3
2022,Microbially-mediated transformations of estuarine dissolved organic matter,"M. Seidel, T. Dittmar, Scott Gifford et al. (n=7)",M. Seidel; T. Dittmar; Scott Gifford; W.B. Whitman; M.A. Moran; P.M. Medeiros; F. Ballantyne,UNC Libraries,https://doi.org/10.17615/pc4z-g365,biogeochem_carbon; estuary_coastal; marine; microbial_coupling; soil_terrestrial; wetland_peatland,6
2022,Unraveling dissolved organic matter in drinking water through integrated ozonation/ceramic membrane and biological activated carbon process using FT-ICR MS,"Congyu Hou, Li Chen, Yawen Dong et al. (n=5)",Congyu Hou; Li Chen; Yawen Dong; Yulong Yang; Xihui Zhang,Water Research,https://doi.org/10.1016/j.watres.2022.118881,wastewater_drinking,1
2022,Molecular-level composition of dissolved organic matter in distinct trophic states in Chinese lakes: Implications for eutrophic lake management and the global carbon cycle,"Shasha Liu, Junwen Hou, Chengyu Suo et al. (n=7)",Shasha Liu; Junwen Hou; Chengyu Suo; Junyi Chen; Xiaohui Liu; Rui Fu; Fengchang Wu,Water Research,https://doi.org/10.1016/j.watres.2022.118438,biogeochem_carbon; estuary_coastal; freshwater_lake; marine,4
2022,Oxygen availability driven trends in DOM molecular composition and reactivity in a seasonally stratified fjord,"Xiao Chen, Jihua Liu, Junfeng Chen et al. (n=9)",Xiao Chen; Jihua Liu; Junfeng Chen; Jianning Wang; Xilin Xiao; Chen He; Quan Shi; Gang Li; Nianzhi Jiao,Water Research,https://doi.org/10.1016/j.watres.2022.118690,biogeochem_carbon; estuary_coastal; marine,3
2022,Molecular characterization of dissolved organic nitrogen and phosphorus in agricultural runoff and surface waters,"Yun‐Ya Yang, Malak Tfaily, Jared Wilmoth et al. (n=4)",Yun‐Ya Yang; Malak Tfaily; Jared Wilmoth; Gurpal S. Toor,Water Research,https://doi.org/10.1016/j.watres.2022.118533,disturbance_anthropogenic; estuary_coastal; marine; soil_terrestrial,4
2022,"Origin, accumulation and fate of dissolved organic matter in an extreme hypersaline shallow lake","Andrea Butturini, Peter Herzsprung, Oliver J. Lechtenfeld et al. (n=12)",Andrea Butturini; Peter Herzsprung; Oliver J. Lechtenfeld; Paloma Alcorlo; Robert Benaiges-Fernández; Mercedes Berlanga; Judit Boadella; Z. Freixinos Campillo; R.M. Gomez; María del Mar Sánchez‐Montoya; J. Urmeneta; Anna M. Romaní,Water Research,https://doi.org/10.1016/j.watres.2022.118727,biogeochem_carbon; estuary_coastal; freshwater_lake; marine; microbial_coupling,5
2022,"Enhanced chemodiversity, distinctive molecular signature and diurnal dynamics of dissolved organic matter in streams of two headwater catchments, Southeastern China","Chen Gong, Ruyuan Jiao, Weijin Yan et al. (n=8)",Chen Gong; Ruyuan Jiao; Weijin Yan; Qibiao Yu; Qingqian Li; Peipei Zhang; Yanqiang Li; Dongsheng Wang,Water Research,https://doi.org/10.1016/j.watres.2022.118052,freshwater_river; microbial_coupling; wastewater_drinking,3
2022,Eutrophication and watershed characteristics shape changes in dissolved organic matter chemistry along two river-estuarine transects,"Ding He, Penghui Li, Chen He et al. (n=5)",Ding He; Penghui Li; Chen He; Yuntao Wang; Quan Shi,Water Research,https://doi.org/10.1016/j.watres.2022.118196,biogeochem_carbon; estuary_coastal; freshwater_river; marine,4
2022,"Lake reclamation alters molecular-level characteristics of lacustrine dissolved organic matter – A study of nine lakes in the Yangtze Plain, China","Quanhui Ye, Guodong Sun, Yinghui Wang et al. (n=11)",Quanhui Ye; Guodong Sun; Yinghui Wang; Song Zhang; Yang Xu; Lian Feng; Myrna J. Simpson; Chen He; Quan Shi; Liping Li; Junjian Wang,Water Research,https://doi.org/10.1016/j.watres.2022.118884,biogeochem_carbon; disturbance_anthropogenic; estuary_coastal; freshwater_lake; marine; microbial_coupling,6
2022,Characterization of dissolved organic matter processing between surface sediment porewater and overlying bottom water in the Yangtze River Estuary,"Yuping Zhou, Chen Zhao, Chen He et al. (n=8)",Yuping Zhou; Chen Zhao; Chen He; Penghui Li; Yuntao Wang; Yu Pang; Quan Shi; Ding He,Water Research,https://doi.org/10.1016/j.watres.2022.118260,biogeochem_carbon; disturbance_anthropogenic; estuary_coastal; freshwater_river; marine; sediment_porewater,6
