year,title,authors_short,all_authors,journal,doi,openalex_id
2023,Physical Evaluation of a Mass Ionization Assist Agent via Mist Deposition Method and Its Investigation of the Visualization of Naturally Occurring Poisons in Plants,"裕司 仲林, 悟 山田, 平祐 酒井 et al. (n=4)",裕司 仲林; 悟 山田; 平祐 酒井; 亮一 鈴木,産業応用工学会論文誌,https://doi.org/10.12792/jjiiae.11.1.31,https://openalex.org/W4361756548
2024,Applying Spatial Metabolomics To Investigate Age- and Drug-Induced Neurochemical Changes,"Theodosia Vallianatou, Tina B. Angerer, Ibrahim Kaya et al. (n=7)",Theodosia Vallianatou; Tina B. Angerer; Ibrahim Kaya; Anna Nilsson; Mohammadreza Shariatgorji; Per Svenningsson; Per E. Andrén,ACS Chemical Neuroscience,https://doi.org/10.1021/acschemneuro.4c00199,https://openalex.org/W4401092146
2024,Spatial Neurolipidomics at the Single Amyloid-β Plaque Level in Postmortem Human Alzheimer’s Disease Brain,"Wojciech Michno, Andrew P. Bowman, Durga Jha et al. (n=11)",Wojciech Michno; Andrew P. Bowman; Durga Jha; Karolina Minta; Junyue Ge; Srinivas Koutarapu; Henrik Zetterberg; Kaj Blennow; Tammaryn Lashley; Ron M. A. Heeren; Jörg Hanrieder,ACS Chemical Neuroscience,https://doi.org/10.1021/acschemneuro.4c00006,https://openalex.org/W4391448463
2024,Two-Dimensional Fourier Transform Ion Cyclotron Resonance Mass Spectrometry by Matrix-Assisted Laser Desorption Ionization,"Richard J. Bell, David S. Hage, Eric D. Dodds",Richard J. Bell; David S. Hage; Eric D. Dodds,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.3c05601,https://openalex.org/W4394806202
2024,Thermal Denaturation of Fresh Frozen Tissue Enhances Mass Spectrometry Detection of Peptides,"Angela Kruse, Audra M. Judd, Danielle Gutierrez et al. (n=10)",Angela Kruse; Audra M. Judd; Danielle Gutierrez; Jamie Allen; Martin Dufresne; Melissa A. Farrow; Alvin C. Powers; Jeremy L. Norris; Richard M. Caprioli; Jeffrey M. Spraggins,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.4c03625,https://openalex.org/W4403336294
2024,High Resolution Mass Spectrometry of Cystine-Containing Neuropeptides in Histological Sections of Human FFPE Tissue Banks,"Peter Verhaert, Gilles Frache, Dhaka Ram Bhandari et al. (n=11)",Peter Verhaert; Gilles Frache; Dhaka Ram Bhandari; Luuk Van Oosten; Remco P. Crefcoeur; Bernhard Spengler; Marthe Verhaert; Aletta M. E. Millen; Sooraj Baijnath; Ann‐Christin Niehoff; Raf Sciot,Biochemistry,https://doi.org/10.5772/intechopen.1004948,https://openalex.org/W4398204819
2024,Single-Cell Resolution DESI Mass Spectrometry Imaging through 10-Fold Sample Expansion,"Chengyi Xie, Jianing Wang, Xin Diao et al. (n=5)",Chengyi Xie; Jianing Wang; Xin Diao; Xiaoxiao Wang; Zongwei Cai,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.1101/2024.10.21.619369,https://openalex.org/W4403711468
2024,Spatial Lipidomics Maps Brain Alterations Associated with Mild Traumatic Brain Injury,"Dmitry Leontyev, Alexis N. Pulliam, Xin Ma et al. (n=6)",Dmitry Leontyev; Alexis N. Pulliam; Xin Ma; David A. Gaul; Michelle C. LaPlaca; Facundo M. Fernández,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.1101/2024.01.25.577203,https://openalex.org/W4391239561
2024,UHPLC-UHRMS and 109AgNPs-assisted laser desorption/ionization mass spectrometry imaging of pesticide residues in Solanum lycopersicum L.,"S. Krupa, Joanna Nizioł",S. Krupa; Joanna Nizioł,Chemical Technology & Biotechnology,https://doi.org/10.7862/rc.2024.4,https://openalex.org/W4405280978
2024,Thermal denaturation of fresh frozen tissue enhances mass spectrometry detection of peptides,"Angela Kruse, Audra M. Judd, Danielle Gutierrez et al. (n=10)",Angela Kruse; Audra M. Judd; Danielle Gutierrez; Jamie Allen; Martin Dufresne; Melissa A. Farrow; Alvin C. Powers; Jeremy L. Norris; Richard M. Caprioli; Jeffrey M. Spraggins,ChemRxiv,https://doi.org/10.26434/chemrxiv-2024-gtnxf,https://openalex.org/W4400460558
2024,Latent Fingermarks Analysis by Imaging Mass Spectrometry,"Marina González, Nayara A. dos Santos, Camila Medeiros de Almeida et al. (n=8)",Marina González; Nayara A. dos Santos; Camila Medeiros de Almeida; Rafael Scorsatto Ortiz; Renata Pereira Limberger; Wanderson Romão; Kristiane de Cássia Mariotti; Andreas Sebastian Loureiro Mendez,Current Analytical Chemistry,https://doi.org/10.2174/0115734110316419240827042024,https://openalex.org/W4402230894
2024,Differential distribution of characteristic constituents in peel and pulp of Aurantii Fructus Immaturus (Citrus aurantium L.) using MALDI mass spectrometry imaging,"Wenjun Cai, Shuo Zhang, Yaonan Wang et al. (n=5)",Wenjun Cai; Shuo Zhang; Yaonan Wang; Changli Liu; Rong Luo,Fitoterapia,https://doi.org/10.1016/j.fitote.2024.106067,https://openalex.org/W4399455522
2024,Penetration Profile of Terbinafine Compared to Amorolfine in Mycotic Human Toenails Quantified by Matrix-Assisted Laser Desorption Ionization–Fourier Transform Ion Cyclotron Resonance Imaging,"Nicolas Joly‐Tonetti, Raphaël Legouffe, Aurore Tomezyk et al. (n=7)",Nicolas Joly‐Tonetti; Raphaël Legouffe; Aurore Tomezyk; Clémence Gumez; Mathieu Gaudin; David Bonnel; Martin Schaller,Infectious Diseases and Therapy,https://doi.org/10.1007/s40121-024-00979-2,https://openalex.org/W4396706955
2024,A trapped ion mobility enabled Fourier transform ion cyclotron resonance mass spectrometer for infrared ion spectroscopy at FELIX,"Kas J. Houthuijs, Lara van Tetering, Jelle L. Schuurman et al. (n=9)",Kas J. Houthuijs; Lara van Tetering; Jelle L. Schuurman; Christopher A. Wootton; Christoph Gebhardt; Mark E. Ridgeway; Giel Berden; Jonathan Martens; Jos Oomens,International Journal of Mass Spectrometry,https://doi.org/10.1016/j.ijms.2024.117323,https://openalex.org/W4401659408
2024,Identification and visualization of component changes during the processing of ginseng to red ginseng using UPLC-Q-Orbitrap HRMS and MALDI-MSI techniques,"Jin Wang, Qiao Ren, Houqin Zhou et al. (n=5)",Jin Wang; Qiao Ren; Houqin Zhou; Chenghao He; Qinwan Huang,Journal of Food Measurement & Characterization,https://doi.org/10.1007/s11694-024-03039-y,https://openalex.org/W4405880303
2024,Design and Implementation of a Desorption Electro-flow Focusing Sprayer on an Orbitrap Mass Spectrometer for DESI Mass Spectrometry Imaging at High Spatial Resolution and at High Speed,"Carl Frederik Marc Hansen, Lukas Dobrovolskis, Christian Janfelt",Carl Frederik Marc Hansen; Lukas Dobrovolskis; Christian Janfelt,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1021/jasms.4c00341,https://openalex.org/W4403061988
2024,External Data Systems Enable Enhanced (and Sustainable) Fourier Transform Mass Spectrometry Imaging for Legacy Hybrid Linear Ion Trap–Orbitrap Platforms,"Franklin E. Leach, Konstantin O. Nagornov, Anton N. Kozhinov et al. (n=4)",Franklin E. Leach; Konstantin O. Nagornov; Anton N. Kozhinov; Yury O. Tsybin,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1021/jasms.4c00145,https://openalex.org/W4400851774
2024,"7662 Mass Spectrometry Imaging Reveals Region-, Age-, And Sex-Specific Effects Of Lipopolysaccharide Administration On Glucocorticoids In Mouse Lymphoid Organs","Melody Salehzadeh, Shazia Khan, Ruth Andrew et al. (n=4)",Melody Salehzadeh; Shazia Khan; Ruth Andrew; Kiran K. Soma,Journal of the Endocrine Society,https://doi.org/10.1210/jendso/bvae163.232,https://openalex.org/W4403150432
2024,Abstract No. 21 Determining Drug Distribution in the Tumor Microenvironment During Chemoembolization Using Matrix-Assisted Laser Desorption/Ionization (MALDI),"Luke R. Wilkins, Vishnu Chandra, R. She et al. (n=7)",Luke R. Wilkins; Vishnu Chandra; R. She; F. Kashem; C. Carter; Annapurna Pamreddy; David L. Brautigan,Journal of Vascular and Interventional Radiology,https://doi.org/10.1016/j.jvir.2023.12.042,https://openalex.org/W4392009985
2024,TMET-23. MASS SPECTROMETRY-BASED METABOLIC PROFILING AND IMAGING OF ASTROCYTE AND GLIOBLASTOMA INVASIVE MARGIN CELLS,"Une Kontrimaite, Phoebe McCrorie, Sandra Martínez‐Jarquín et al. (n=8)",Une Kontrimaite; Phoebe McCrorie; Sandra Martínez‐Jarquín; Harry Porter; Kei F Carver Wong; Stuart Smith; Donghyun Kim; Ruman Rahman,Neuro-Oncology,https://doi.org/10.1093/neuonc/noae165.1161,https://openalex.org/W4404256943
2024,Spatial metabolomics method to reveal the differences in chemical composition of raw and honey‐fried <i>Stemona tuberosa</i> Lour. by using UPLC‐Orbitrap Fusion MS and desorption electrospray ionization mass spectrometry imaging,"Haixuan Xiong, Shuding Sun, Weiwei Zhang et al. (n=7)",Haixuan Xiong; Shuding Sun; Weiwei Zhang; Di Zhao; Xuefang Liu; Yange Tian; Suxiang Feng,Phytochemical Analysis,https://doi.org/10.1002/pca.3428,https://openalex.org/W4401062517
2024,Spatial Distribution and Comparative Analysis of Differential Metabolites in <scp><i>Curcuma longa</i></scp> L. Roots and Rhizomes Using UHPLC‐Q‐Orbitrap HRMS Combined With DESI‐MSI,"Jin Wang, Ying Zhu, Chuyue Wu et al. (n=4)",Jin Wang; Ying Zhu; Chuyue Wu; Qinwan Huang,Phytochemical Analysis,https://doi.org/10.1002/pca.3493,https://openalex.org/W4405814515
2024,Matrix‐free laser desorption/ionization mass spectrometry imaging for rapid evaluation of wood biomass conversion,"Hiroshi Nishimura, Takashi Watanabe",Hiroshi Nishimura; Takashi Watanabe,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.9716,https://openalex.org/W4396861668
2024,Lipid A double bond position determination using ozone and laser‐induced dissociation,"Abanoub Mikhael, Helena Pětrošová, Derek Smith et al. (n=5)",Abanoub Mikhael; Helena Pětrošová; Derek Smith; Robert K. Ernst; David R. Goodlett,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.9854,https://openalex.org/W4399785867
2024,Improved detection in untargeted lipidomics through silver‐doped infrared matrix‐assisted laser desorption electrospray ionization,"Seth M. Eisenberg, David C. Muddiman",Seth M. Eisenberg; David C. Muddiman,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.9832,https://openalex.org/W4399184924
2024,Differential Distribution of Characteristic Constituents in Peel and Pulp of Aurantii Fructus Immaturus Using Maldi Mass Spectrometry Imaging,"Wenjun Cai, Shuo Zhang, Yaonan Wang et al. (n=5)",Wenjun Cai; Shuo Zhang; Yaonan Wang; Changli Liu; Rong Luo,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4698864,https://openalex.org/W4390987390
